CheetahProteinDescription,HumanName
ras-related protein Rab-5C,Ras-related protein Rab-5C
ras-related protein Rab-7a,Ras-related protein Rab-7a
ras-related protein Rab-8A,Ras-related protein Rab-8A
ras-related protein Rab-8B isoform X2,Ras-related protein Rab-8B
ras-related C3 botulinum toxin substrate 1 isoform X1;ras-related C3 botulinum toxin substrate 1 isoform X2,Ras-related C3 botulinum toxin substrate 1
ras-related C3 botulinum toxin substrate 2 isoform X2,Ras-related C3 botulinum toxin substrate 2
UV excision repair protein RAD23,UV excision repair protein RAD23 homolog A
Small monomeric GTPase,Ras-related protein Ral-A
Small monomeric GTPase,Ras-related protein Ral-B
GTP-binding nuclear protein Ran,GTP-binding nuclear protein Ran
ran-specific GTPase-activating protein isoform X1;ran-specific GTPase-activating protein isoform X2,Ran-specific GTPase-activating protein
ras-related protein Rap-1A isoform X1,Ras-related protein Rap-1A
ras-related protein Rap-1b,Ras-related protein Rap-1b
Ras-related protein Rap-2,Ras-related protein Rap-2b
retinoic acid receptor responder protein 1,Retinoic acid receptor responder protein 1
Chemerin,Retinoic acid receptor responder protein 2
ras GTPase-activating protein 3 isoform X1,Ras GTPase-activating protein 3
RAS guanyl-releasing protein 2 isoform X3,RAS guanyl-releasing protein 2
RNA-binding protein 12 isoform X3;copine-1 isoform X2,RNA-binding protein 12 
Retinol-binding protein,Retinol-binding protein 4
protein RCC2,Protein RCC2
reticulocalbin-1,Reticulocalbin-1
radixin isoform X2;radixin isoform X1,Radixin
Receptor expression-enhancing protein,Receptor expression-enhancing protein 2
Receptor expression-enhancing protein,Receptor expression-enhancing protein 5
lithostathine-like ,Lithostathine-1-alpha 
Reelin,Reelin
DNA polymerase zeta catalytic subunit,DNA polymerase zeta catalytic subunit
regulator of G-protein signaling 10 isoform X1,Regulator of G-protein signaling 10
regulator of G-protein signaling 18,Regulator of G-protein signaling 18
ammonium transporter Rh type A,Ammonium transporter Rh type A
transforming protein RhoA,Transforming protein RhoA
rho-related GTP-binding protein RhoF,Rho-related GTP-binding protein RhoF
rho-related GTP-binding protein RhoG,Rho-related GTP-binding protein RhoG
ribonuclease 4,Ribonuclease 4 
ribonuclease K6,Ribonuclease K6
Ribonuclease inhibitor,Ribonuclease inhibitor
aminopeptidase B,Aminopeptidase B
Rho-associated protein kinase 2,Rho-associated protein kinase 2
Ribose-5-phosphate isomerase,Ribose-5-phosphate isomerase
60S ribosomal protein L13a,60S ribosomal protein L13a
Ribosomal protein L15 ,60S ribosomal protein L15 
60S ribosomal protein L18,60S ribosomal protein L18
60S ribosomal protein L3 isoform X1 ,60S ribosomal protein L3 
60S ribosomal protein L7a,60S ribosomal protein L7a
60S acidic ribosomal protein P2 ,60S acidic ribosomal protein P2 
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1
40S ribosomal protein S12,40S ribosomal protein S12
40S ribosomal protein S13,40S ribosomal protein S13
40S ribosomal protein S14,40S ribosomal protein S14
40S ribosomal protein S16,40S ribosomal protein S16
40S ribosomal protein S2,40S ribosomal protein S2
40S ribosomal protein S20,40S ribosomal protein S20
40S ribosomal protein S24,40S ribosomal protein S24
40S ribosomal protein S26,40S ribosomal protein S26
40S ribosomal protein S28 ,40S ribosomal protein S28 
40S ribosomal protein S29 ,40S ribosomal protein S29 
40S ribosomal protein S3,40S ribosomal protein S3
40S ribosomal protein S4,"40S ribosomal protein S4, X isoform"
40S ribosomal protein S7,40S ribosomal protein S7
40S ribosomal protein SA,40S ribosomal protein SA
Ras-related GTP-binding protein,Ras-related GTP-binding protein D
ras suppressor protein 1 isoform X1,Ras suppressor protein 1
Reticulon,Reticulon-3
Reticulon,Reticulon-4
RUN and FYVE domain-containing protein 1 isoform X2;RUN and FYVE domain-containing protein 1 isoform X1,RUN and FYVE domain-containing protein 1
Protein S100,Protein S100-A11
protein S100-A12-like,Protein S100-A12 
protein S100-A14,Protein S100-A14
Protein S100 ,Protein S100-A16 
Protein S100,Protein S100-A4
Protein S100,Protein S100-A8
Protein S100,Protein S100-A9
Serum amyloid A protein,Serum amyloid A-1 protein 
Serum amyloid A protein,Serum amyloid A-1 protein 
Serum amyloid A protein,Serum amyloid A-1 protein
phosphatidylinositide phosphatase SAC1,Phosphatidylinositol-3-phosphatase SAC1
GTP-binding protein SAR1b,GTP-binding protein SAR1b
Seryl-tRNA synthetase,"Serine--tRNA ligase, cytoplasmic"
Ribosome maturation protein SBDS,Ribosome maturation protein SBDS
suprabasin isoform X1,Suprabasin
Secretory carrier-associated membrane protein,Secretory carrier-associated membrane protein 2
Acetyl-CoA C-myristoyltransferase,Sterol carrier protein 2
serine dehydratase-like isoform X2;serine dehydratase-like isoform X1,Serine dehydratase-like
GATOR complex protein SEC13,Protein SEC13 homolog
protein transport protein Sec24A isoform X2;protein transport protein Sec24A isoform X1;protein transport protein Sec24A isoform X3,Protein transport protein Sec24A
protein transport protein Sec24B isoform X3;protein transport protein Sec24B isoform X1;protein transport protein Sec24B isoform X2;protein transport protein Sec24B isoform X4,Protein transport protein Sec24B
methanethiol oxidase isoform X3;methanethiol oxidase isoform X2;methanethiol oxidase isoform X1,Methanethiol oxidase
Selenoprotein P,Selenoprotein P
L-selectin,L-selectin
P-selectin isoform X2,P-selectin
P-selectin isoform X1;P-selectin isoform X4,P-selectin
semaphorin-4B,Semaphorin-4B
Septin,Septin-2 
Septin,Septin-5 
Septin,Septin-6 
Septin,Septin-7 
plasminogen activator inhibitor 1 RNA-binding protein isoform X1;plasminogen activator inhibitor 1 RNA-binding protein isoform X2;plasminogen activator inhibitor 1 RNA-binding protein isoform X4;plasminogen activator inhibitor 1 RNA-binding protein isoform X3,Plasminogen activator inhibitor 1 RNA-binding protein
alpha-1-antitrypsin,Alpha-1-antitrypsin 
serpin A11,Serpin A11
alpha-1-antichymotrypsin isoform X1;alpha-1-antichymotrypsin isoform X2,Alpha-1-antichymotrypsin
kallistatin,Kallistatin
corticosteroid-binding globulin,Corticosteroid-binding globulin
leukocyte elastase inhibitor,Leukocyte elastase inhibitor
serpin B10,Serpin B10
Serpin B5,Serpin B5
Antithrombin-III,Antithrombin-III
heparin cofactor 2,Heparin cofactor 2
plasminogen activator inhibitor 1,Plasminogen activator inhibitor 1
glia-derived nexin,Glia-derived nexin
pigment epithelium-derived factor,Pigment epithelium-derived factor
alpha-2-antiplasmin isoform X1;alpha-2-antiplasmin isoform X2,Alpha-2-antiplasmin
plasma protease C1 inhibitor,Plasma protease C1 inhibitor
neuroserpin,Neuroserpin
14-3-3 protein sigma,14-3-3 protein sigma
Sidoreflexin ,Sideroflexin-1 
SH3 domain-binding glutamic acid-rich-like protein,SH3 domain-binding glutamic acid-rich-like protein 3
Endophilin-B1,Endophilin-B1
endophilin-B2 isoform X4,Endophilin-B2
nucleotide exchange factor SIL1,Nucleotide exchange factor SIL1
src kinase-associated phosphoprotein 2,Src kinase-associated phosphoprotein 2
S-phase kinase-associated protein 1,S-phase kinase-associated protein 1
mitochondrial 2-oxoglutarate/malate carrier protein,Mitochondrial 2-oxoglutarate/malate carrier protein
calcium-binding mitochondrial carrier protein SCaMC-1,Calcium-binding mitochondrial carrier protein SCaMC-1 
"Phosphate carrier protein, mitochondrial;Phosphate carrier protein, mitochondrial","Phosphate carrier protein, mitochondrial"
ADP/ATP translocase,ADP/ATP translocase 2
ADP/ATP translocase,ADP/ATP translocase 3
"solute carrier family 2, facilitated glucose transporter member 3 isoform X3;solute carrier family 2, facilitated glucose transporter member 3 isoform X1;solute carrier family 2, facilitated glucose transporter member 3 isoform X2","Solute carrier family 2, facilitated glucose transporter member 3"
4F2 cell-surface antigen heavy chain,4F2 cell-surface antigen heavy chain
Choline transporter-like protein,Choline transporter-like protein 1
Choline transporter-like protein,Choline transporter-like protein 2
Anion exchange protein,Band 3 anion transport protein
Sodium/hydrogen exchanger,Sodium/hydrogen exchanger 1
Na(+)/H(+) exchange regulatory cofactor NHE-RF,Na(+)/H(+) exchange regulatory cofactor NHE-RF1
Sphingomyelin phosphodiesterase,Sphingomyelin phosphodiesterase
Acid sphingomyelinase-like phosphodiesterase;acid sphingomyelinase-like phosphodiesterase 3a isoform X2,Acid sphingomyelinase-like phosphodiesterase 3a
Synaptosomal-associated protein,Synaptosomal-associated protein 23
Alpha-synuclein,Alpha-synuclein
Staphylococcal nuclease domain-containing protein,Staphylococcal nuclease domain-containing protein 1
Small nuclear ribonucleoprotein Sm D3 ,Small nuclear ribonucleoprotein Sm D3 
Sorting nexin-2,Sorting nexin-2
Sorting nexin-3,Sorting nexin-3
sorting nexin-4,Sorting nexin-4
Sorting nexin,Sorting nexin-9
Superoxide dismutase [Cu-Zn],Superoxide dismutase [Cu-Zn]
Superoxide dismutase,"Superoxide dismutase [Mn], mitochondrial"
Superoxide dismutase [Cu-Zn],Extracellular superoxide dismutase [Cu-Zn]
sortilin isoform X2;sortilin isoform X1,Sortilin
Signal peptidase complex subunit 3 ,Signal peptidase complex subunit 3 
Secreted phosphoprotein 2,Secreted phosphoprotein 24
cornifin-A ,Cornifin-A 
"spectrin alpha chain, erythrocytic 1","Spectrin alpha chain, erythrocytic 1"
Spectrin beta chain,"Spectrin beta chain, erythrocytic"
"sulfide:quinone oxidoreductase, mitochondrial","Sulfide:quinone oxidoreductase, mitochondrial"
Tyrosine-protein kinase,Proto-oncogene tyrosine-protein kinase Src
serglycin,Serglycin
sorcin,Sorcin
hsc70-interacting protein isoform X1;hsc70-interacting protein isoform X2,Hsc70-interacting protein
"type 2 lactosamine alpha-2,3-sialyltransferase isoform X1;type 2 lactosamine alpha-2,3-sialyltransferase isoform X3;type 2 lactosamine alpha-2,3-sialyltransferase isoform X2","Type 2 lactosamine alpha-2,3-sialyltransferase"
stabilin-1 isoform X4;stabilin-1 isoform X5;stabilin-1 isoform X1;stabilin-1 isoform X6;stabilin-1 isoform X3;stabilin-1 isoform X2;stabilin-1 isoform X7,Stabilin-1
Signal transducer and activator of transcription,Signal transducer and activator of transcription 1-alpha/beta
Signal transducer and activator of transcription,Signal transducer and activator of transcription 3
stanniocalcin-2,Stanniocalcin-2
Hsc70/Hsp90-organizing protein,Stress-induced-phosphoprotein 1
serine/threonine-protein kinase 24 isoform X1;serine/threonine-protein kinase 24 isoform X2,Serine/threonine-protein kinase 24
Stathmin,Stathmin
erythrocyte band 7 integral membrane protein,Stomatin
striatin isoform X4;striatin isoform X5;striatin isoform X1;striatin isoform X2;striatin isoform X3,Striatin
syntaxin-11 isoform X2;syntaxin-11 isoform X1,Syntaxin-11
syntaxin-7 isoform X1;syntaxin-7 isoform X2,Syntaxin-7
syntaxin-binding protein 2 isoform X1,Syntaxin-binding protein 2
"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial;Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial","Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial"
"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial;Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial","Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial"
Sulfotransferase,Sulfotransferase 1A1 
supervillin isoform X3;supervillin isoform X4;supervillin isoform X9;supervillin isoform X14;supervillin isoform X8;supervillin isoform X13;supervillin isoform X5;supervillin isoform X10;supervillin isoform X15;supervillin isoform X1;supervillin isoform X6;supervillin isoform X11;supervillin isoform X2;supervillin isoform X7;supervillin isoform X12,Supervillin
Non-specific protein-tyrosine kinase;Tyrosine-protein kinase,Tyrosine-protein kinase SYK
heterogeneous nuclear ribonucleoprotein Q isoform X2;heterogeneous nuclear ribonucleoprotein Q isoform X1;heterogeneous nuclear ribonucleoprotein Q isoform X3,Heterogeneous nuclear ribonucleoprotein Q
synaptophysin-like protein 1,Synaptophysin-like protein 1
synaptotagmin-like protein 4,Synaptotagmin-like protein 4
Transgelin,Transgelin
Transgelin,Transgelin-2
Transaldolase,Transaldolase
serine/threonine-protein kinase TAO3 isoform X1,Serine/threonine-protein kinase TAO3
Threonyl-tRNA synthetase,"Threonine--tRNA ligase 1, cytoplasmic"
Tubulin-specific chaperone A,Tubulin-specific chaperone A
Tubulin-folding cofactor B,Tubulin-folding cofactor B
Tubulin-specific chaperone D,Tubulin-specific chaperone D
transducin beta-like protein 2 isoform X4,Transducin beta-like protein 2
thromboxane-A synthase,Thromboxane-A synthase
transcobalamin-2,Transcobalamin-2
CCT-alpha,T-complex protein 1 subunit alpha
Testin,Testin
Beta-1 metal-binding globulin,Serotransferrin 
Transferrin receptor protein 1,Transferrin receptor protein 1
Thyroglobulin,Thyroglobulin
Transforming growth factor beta,Transforming growth factor beta-1 proprotein [Cleaved into: Latency-associated peptide
transforming growth factor beta-1-induced transcript 1 protein isoform X2;transforming growth factor beta-1-induced transcript 1 protein isoform X1,Transforming growth factor beta-1-induced transcript 1 protein
Transforming growth factor-beta-induced protein ig-h3,Transforming growth factor-beta-induced protein ig-h3
protein-glutamine gamma-glutamyltransferase K,Protein-glutamine gamma-glutamyltransferase K
trans-Golgi network integral membrane protein 2 isoform X5,Trans-Golgi network integral membrane protein 2
trans-Golgi network integral membrane protein 2 isoform X1;trans-Golgi network integral membrane protein 2 isoform X2,Trans-Golgi network integral membrane protein 2
thrombospondin-1,Thrombospondin-1
thrombospondin-2,Thrombospondin-2
thrombospondin-4,Thrombospondin-4
thimet oligopeptidase isoform X1;thimet oligopeptidase isoform X2,Thimet oligopeptidase
T-cell immunoglobulin and mucin domain-containing protein 4,T-cell immunoglobulin and mucin domain-containing protein 4
Mitochondrial import inner membrane translocase subunit TIM50,Mitochondrial import inner membrane translocase subunit TIM50
Metalloproteinase inhibitor 1,Metalloproteinase inhibitor 1
Metalloproteinase inhibitor 2,Metalloproteinase inhibitor 2
transketolase isoform X2,Transketolase
talin-1 isoform X4,Talin-1
transmembrane emp24 domain-containing protein 2 isoform X2,Transmembrane emp24 domain-containing protein 2
transmembrane emp24 domain-containing protein 4,Transmembrane emp24 domain-containing protein 4
transmembrane emp24 domain-containing protein 9,Transmembrane emp24 domain-containing protein 9 
Protein kish,Protein kish-A
Cell cycle control protein 50A,Cell cycle control protein 50A
transmembrane protein 33 isoform X1;transmembrane protein 33 isoform X2,Transmembrane protein 33
transmembrane protein 40 isoform X9,Transmembrane protein 40
tropomodulin-3,Tropomodulin-3
transmembrane protease serine 13 isoform X2,Transmembrane protease serine 13
thioredoxin-related transmembrane protein 1,Thioredoxin-related transmembrane protein 1
tenascin isoform X3;tenascin isoform X2;tenascin isoform X1;tenascin isoform X5,Tenascin
TRAF2 and NCK-interacting protein kinase isoform X2;TRAF2 and NCK-interacting protein kinase isoform X9;TRAF2 and NCK-interacting protein kinase isoform X4;TRAF2 and NCK-interacting protein kinase isoform X8;TRAF2 and NCK-interacting protein kinase isoform X5;TRAF2 and NCK-interacting protein kinase isoform X1;TRAF2 and NCK-interacting protein kinase isoform X6;TRAF2 and NCK-interacting protein kinase isoform X3;TRAF2 and NCK-interacting protein kinase isoform X7,TRAF2 and NCK-interacting protein kinase
"troponin I, slow skeletal muscle isoform X1;troponin I, slow skeletal muscle isoform X2","Troponin I, slow skeletal muscle"
"troponin I, fast skeletal muscle","Troponin I, fast skeletal muscle"
"Troponin T, fast skeletal muscle;Troponin T, fast skeletal muscle;Troponin T, fast skeletal muscle;Troponin T, fast skeletal muscle;Troponin T, fast skeletal muscle;Troponin T, fast skeletal muscle;Troponin T, fast skeletal muscle;Troponin T, fast skeletal muscle;Troponin T, fast skeletal muscle;Troponin T, fast skeletal muscle","Troponin T, fast skeletal muscle"
tenascin-X isoform X3;tenascin-X isoform X2;tenascin-X isoform X4;tenascin-X isoform X1;tenascin-X isoform X6,Tenascin-X
mitochondrial import receptor subunit TOM70 ,Mitochondrial import receptor subunit TOM70 
Triosephosphate isomerase,Triosephosphate isomerase
tropomyosin alpha-1 chain isoform X2,Tropomyosin alpha-1 chain
tropomyosin alpha-1 chain isoform X15,Tropomyosin alpha-1 chain
tropomyosin alpha-3 chain isoform X11,Tropomyosin alpha-3 chain
tropomyosin alpha-4 chain isoform X3,Tropomyosin alpha-4 chain
Tripeptidyl-peptidase 2,Tripeptidyl-peptidase 2
trem-like transcript 1 protein,Trem-like transcript 1 protein
short transient receptor potential channel 6 isoform X1;short transient receptor potential channel 6 isoform X2;short transient receptor potential channel 6 isoform X3,Short transient receptor potential channel 6
Tetraspanin,Tetraspanin-14
tetraspanin-9 isoform X1;Tetraspanin,Tetraspanin-9
Tetratricopeptide repeat protein 38,Tetratricopeptide repeat protein 38
tubulin--tyrosine ligase-like protein 12 isoform X1,Tubulin--tyrosine ligase-like protein 12
titin isoform X1,Titin
Transthyretin,Transthyretin
Tubulin alpha chain,Tubulin alpha-1B chain
Tubulin alpha chain,Tubulin alpha-1C chain 
Tubulin alpha chain,Tubulin alpha-4A chain 
Tubulin alpha chain,Tubulin alpha chain-like 3
Tubulin beta chain,Tubulin beta chain
Tubulin beta chain,Tubulin beta-1 chain
Tubulin beta chain,Tubulin beta-2A chain
Tubulin beta chain ,Tubulin beta-4A chain 
Tubulin beta chain,Tubulin beta-4B chain
Elongation factor Tu,"Elongation factor Tu, mitochondrial"
twinfilin-1 isoform X2;twinfilin-1 isoform X1,Twinfilin-1
Thioredoxin,Thioredoxin
thioredoxin domain-containing protein 5,Thioredoxin domain-containing protein 5
thioredoxin-like protein 1 isoform X2;thioredoxin-like protein 1 isoform X3;thioredoxin-like protein 1 isoform X1,Thioredoxin-like protein 1
Thioredoxin-disulfide reductase,"Thioredoxin reductase 1, cytoplasmic"
Thioredoxin-disulfide reductase,"Thioredoxin reductase 2, mitochondrial"
Ubiquitin-activating enzyme E1,Ubiquitin-like modifier-activating enzyme 1
Ubiquitin A-52 residue ribosomal protein fusion product 1;Ubiquitin carboxyl extension protein 80,Ubiquitin-60S ribosomal protein L40
E3 ubiquitin-protein ligase subunit KPC2,Ubiquitin-associated domain-containing protein 1
ubiquitin-associated and SH3 domain-containing protein B isoform X1,Ubiquitin-associated and SH3 domain-containing protein B
ubiquitin-conjugating enzyme E2 D3 isoform X2;ubiquitin-conjugating enzyme E2 D3 isoform X1;ubiquitin-conjugating enzyme E2 D2 isoform X3;ubiquitin-conjugating enzyme E2 D2 isoform X1;ubiquitin-conjugating enzyme E2 D2 isoform X2,Ubiquitin-conjugating enzyme E2 D3
ubiquitin-conjugating enzyme E2 L3 isoform X1,Ubiquitin-conjugating enzyme E2 L3
ubiquitin-conjugating enzyme E2 N,Ubiquitin-conjugating enzyme E2 N
(E3-independent) E2 ubiquitin-conjugating enzyme,(E3-independent) E2 ubiquitin-conjugating enzyme
ubiquitin-conjugating enzyme E2 variant 1 isoform X2,Ubiquitin-conjugating enzyme E2 variant 1
Ubiquitin-fold modifier-conjugating enzyme 1,Ubiquitin-fold modifier-conjugating enzyme 1
UTP--glucose-1-phosphate uridylyltransferase,UTP--glucose-1-phosphate uridylyltransferase
Serine/threonine-protein kinase ULK3,Serine/threonine-protein kinase ULK3
Uridine 5'-monophosphate synthase,Uridine 5'-monophosphate synthase
protein unc-13 homolog D isoform X1,Protein unc-13 homolog D
regulator of nonsense transcripts 1 isoform X1;regulator of nonsense transcripts 1 isoform X2,Regulator of nonsense transcripts 1
Complex III subunit 9,Cytochrome b-c1 complex subunit 9
"cytochrome b-c1 complex subunit 1, mitochondrial isoform X1;cytochrome b-c1 complex subunit 1, mitochondrial isoform X2","Cytochrome b-c1 complex subunit 1, mitochondrial "
"cytochrome b-c1 complex subunit 2, mitochondrial","Cytochrome b-c1 complex subunit 2, mitochondrial "
Ubiquitinyl hydrolase 1,Ubiquitin carboxyl-terminal hydrolase 1
Ubiquitin carboxyl-terminal hydrolase,Ubiquitin carboxyl-terminal hydrolase 14
Ubiquitin carboxyl-terminal hydrolase,Ubiquitin carboxyl-terminal hydrolase 5
vesicle-associated membrane protein 7,Vesicle-associated membrane protein 7
vesicle-associated membrane protein-associated protein A isoform X2,Vesicle-associated membrane protein-associated protein A
vasorin,Vasorin
vasodilator-stimulated phosphoprotein isoform X3,Vasodilator-stimulated phosphoprotein
vasodilator-stimulated phosphoprotein isoform X2,Vasodilator-stimulated phosphoprotein
synaptic vesicle membrane protein VAT-1 homolog,Synaptic vesicle membrane protein VAT-1 homolog
Prefoldin subunit 3,Prefoldin subunit 3
vascular cell adhesion protein 1 isoform X1,Vascular cell adhesion protein 1
Metavinculin,Vinculin
15S Mg(2+)-ATPase p97 subunit,Transitional endoplasmic reticulum ATPase
Voltage-dependent anion-selective channel protein 1,Voltage-dependent anion-selective channel protein 1
Voltage-dependent anion-selective channel protein 2,Voltage-dependent anion-selective channel protein 2
Voltage-dependent anion-selective channel protein 3,Voltage-dependent anion-selective channel protein 3
Vimentin,Vimentin
vascular non-inflammatory molecule 3 isoform X2;vascular non-inflammatory molecule 3 isoform X1,vascular non-inflammatory molecule 3 
immunoglobulin iota chain-like,Immunoglobulin iota chain 
vacuolar protein sorting-associated protein 13C isoform X1;vacuolar protein sorting-associated protein 13C isoform X4;vacuolar protein sorting-associated protein 13C isoform X2;vacuolar protein sorting-associated protein 13C isoform X3,Intermembrane lipid transfer protein VPS13C
vacuolar protein sorting-associated protein 26A isoform X1;vacuolar protein sorting-associated protein 26A isoform X2,Vacuolar protein sorting-associated protein 26A
vacuolar protein sorting-associated protein 26B,Vacuolar protein sorting-associated protein 26B
Vacuolar protein sorting-associated protein 29,Vacuolar protein sorting-associated protein 29
Vacuolar protein sorting-associated protein 35,Vacuolar protein sorting-associated protein 35
Vesicle-fusing ATPase,Vacuolar protein sorting-associated protein 4B
vitronectin,Vitronectin
von Willebrand factor C and EGF domain-containing protein isoform X1;von Willebrand factor C and EGF domain-containing protein isoform X2;von Willebrand factor C and EGF domain-containing protein isoform X3,von Willebrand factor C and EGF domain-containing protein
von Willebrand factor,von Willebrand factor
"Tryptophan--tRNA ligase, cytoplasmic","Tryptophan--tRNA ligase, cytoplasmic"
wiskott-Aldrich syndrome protein,Wiskott-Aldrich syndrome protein
Wiskott-Aldrich syndrome protein family member,Wiskott-Aldrich syndrome protein family member 3
WW domain-binding protein 2 isoform X1;WW domain-binding protein 2 isoform X2,WW domain-binding protein 2
WD repeat-containing protein 1,WD repeat-containing protein 1
WD repeat-containing protein 13 isoform X2,WD repeat-containing protein 13
"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2 isoform X1;WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2 isoform X2","WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2"
skin-specific protein 32,Skin-specific protein 32 
xaa-Pro aminopeptidase 1 isoform X1 ,Xaa-Pro aminopeptidase 1 
exportin-1,Exportin-1
Tyrosine--tRNA ligase,"Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed"
synaptobrevin homolog YKT6,Synaptobrevin homolog YKT6
14-3-3 protein beta/alpha,14-3-3 protein beta/alpha
14-3-3 protein epsilon isoform X1,14-3-3 protein epsilon
14-3-3 protein gamma,14-3-3 protein gamma
14-3-3 protein eta,14-3-3 protein eta
14-3-3 protein theta,14-3-3 protein theta
14-3-3 protein zeta/delta,14-3-3 protein zeta/delta
ZBED6 C-terminal-like protein isoform X1,ZBED6 C-terminal-like protein
zyxin,Zyxin
